"tick","Infected Count","Healthy Count","Dead Count"
1.0,3,999,0
2.0,4,998,0
3.0,4,998,0
4.0,4,998,0
5.0,8,994,0
6.0,9,993,0
7.0,13,989,0
8.0,17,985,0
9.0,20,982,0
10.0,24,978,0
11.0,34,968,0
12.0,45,957,0
13.0,48,954,0
14.0,54,948,0
15.0,56,944,2
16.0,59,941,2
17.0,60,939,3
18.0,67,931,4
19.0,75,923,4
20.0,80,915,7
21.0,90,904,8
22.0,94,896,12
23.0,96,892,14
24.0,101,881,20
25.0,110,868,24
26.0,109,861,32
27.0,108,852,42
28.0,110,846,46
29.0,107,842,53
30.0,119,828,55
31.0,127,814,61
32.0,133,806,63
33.0,135,797,70
34.0,142,784,76
35.0,143,773,86
36.0,138,768,96
37.0,139,759,104
38.0,143,750,109
39.0,148,734,120
40.0,145,725,132
41.0,148,714,140
42.0,158,697,147
43.0,161,685,156
44.0,167,675,160
45.0,169,660,173
46.0,169,647,186
47.0,172,635,195
48.0,174,625,203
49.0,177,611,214
50.0,170,604,228
51.0,184,585,233
52.0,195,569,238
53.0,194,556,252
54.0,195,542,265
55.0,194,532,276
56.0,201,517,284
57.0,200,501,301
58.0,199,486,317
59.0,205,470,327
60.0,206,456,340
61.0,209,442,351
62.0,201,436,365
63.0,200,428,374
64.0,202,413,387
65.0,204,401,397
66.0,200,389,413
67.0,195,380,427
68.0,190,368,444
69.0,184,361,457
70.0,185,350,467
71.0,177,342,483
72.0,169,334,499
73.0,170,320,512
74.0,168,306,528
75.0,161,300,541
76.0,151,296,555
77.0,145,291,566
78.0,146,283,573
79.0,148,273,581
80.0,135,271,596
81.0,130,261,611
82.0,132,250,620
83.0,128,243,631
84.0,125,238,639
85.0,121,230,651
86.0,115,228,659
87.0,112,223,667
88.0,104,218,680
89.0,94,215,693
90.0,94,209,699
91.0,92,207,703
92.0,91,204,707
93.0,84,199,719
94.0,80,194,728
95.0,82,190,730
96.0,78,185,739
97.0,67,185,750
98.0,63,182,757
99.0,58,180,764
100.0,53,178,771
101.0,54,175,773
102.0,51,173,778
103.0,48,171,783
104.0,47,169,786
105.0,42,168,792
106.0,39,168,795
107.0,39,165,798
108.0,40,163,799
109.0,38,159,805
110.0,35,157,810
111.0,31,155,816
112.0,35,150,817
113.0,34,150,818
114.0,31,150,821
115.0,30,149,823
116.0,27,149,826
117.0,25,149,828
118.0,25,146,831
119.0,24,146,832
120.0,24,144,834
121.0,26,142,834
122.0,23,142,837
123.0,24,139,839
124.0,20,139,843
125.0,20,138,844
126.0,18,138,846
127.0,13,138,851
128.0,14,136,852
129.0,15,135,852
130.0,14,135,853
131.0,15,134,853
132.0,15,134,853
133.0,13,134,855
134.0,12,134,856
135.0,11,134,857
136.0,9,134,859
137.0,9,133,860
138.0,6,133,863
139.0,6,133,863
140.0,5,133,864
141.0,5,133,864
142.0,5,133,864
143.0,3,133,866
144.0,2,133,867
145.0,2,133,867
146.0,2,132,868
147.0,2,132,868
148.0,2,132,868
149.0,2,132,868
150.0,2,132,868
151.0,2,132,868
152.0,2,132,868
153.0,1,132,869
154.0,1,132,869
155.0,1,132,869
156.0,1,132,869
157.0,1,132,869
158.0,1,132,869
159.0,1,132,869
160.0,2,131,869
161.0,1,131,870
162.0,1,131,870
163.0,1,131,870
164.0,1,131,870
165.0,1,131,870
166.0,2,130,870
167.0,3,129,870
168.0,3,129,870
169.0,3,129,870
170.0,3,129,870
171.0,3,129,870
172.0,3,129,870
173.0,3,129,870
174.0,3,129,870
175.0,2,129,871
176.0,2,129,871
177.0,2,129,871
178.0,2,129,871
179.0,2,129,871
180.0,2,129,871
181.0,1,129,872
182.0,0,129,873
183.0,0,129,873
184.0,0,129,873
185.0,0,129,873
186.0,0,129,873
187.0,0,129,873
188.0,0,129,873
189.0,0,129,873
190.0,0,129,873
191.0,0,129,873
192.0,0,129,873
193.0,0,129,873
194.0,0,129,873
195.0,0,129,873
196.0,0,129,873
197.0,0,129,873
198.0,0,129,873
199.0,0,129,873
200.0,0,129,873
201.0,0,129,873
202.0,0,129,873
203.0,0,129,873
204.0,0,129,873
205.0,0,129,873
206.0,0,129,873
207.0,0,129,873
208.0,0,129,873
209.0,0,129,873
210.0,0,129,873
211.0,0,129,873
212.0,0,129,873
213.0,0,129,873
214.0,0,129,873
215.0,0,129,873
216.0,0,129,873
217.0,0,129,873
218.0,0,129,873
219.0,0,129,873
220.0,0,129,873
221.0,0,129,873
222.0,0,129,873
223.0,0,129,873
224.0,0,129,873
225.0,0,129,873
226.0,0,129,873
227.0,0,129,873
228.0,0,129,873
229.0,0,129,873
230.0,0,129,873
231.0,0,129,873
232.0,0,129,873
233.0,0,129,873
234.0,0,129,873
235.0,0,129,873
236.0,0,129,873
237.0,0,129,873
238.0,0,129,873
239.0,0,129,873
240.0,0,129,873
241.0,0,129,873
242.0,0,129,873
243.0,0,129,873
244.0,0,129,873
245.0,0,129,873
246.0,0,129,873
247.0,0,129,873
248.0,0,129,873
249.0,0,129,873
250.0,0,129,873
251.0,0,129,873
252.0,0,129,873
253.0,0,129,873
254.0,0,129,873
255.0,0,129,873
256.0,0,129,873
257.0,0,129,873
258.0,0,129,873
259.0,0,129,873
260.0,0,129,873
261.0,0,129,873
262.0,0,129,873
263.0,0,129,873
264.0,0,129,873
265.0,0,129,873
266.0,0,129,873
267.0,0,129,873
268.0,0,129,873
269.0,0,129,873
270.0,0,129,873
271.0,0,129,873
272.0,0,129,873
273.0,0,129,873
274.0,0,129,873
275.0,0,129,873
276.0,0,129,873
277.0,0,129,873
278.0,0,129,873
279.0,0,129,873
280.0,0,129,873
281.0,0,129,873
282.0,0,129,873
283.0,0,129,873
284.0,0,129,873
285.0,0,129,873
