"tick","Infected Count","Healthy Count","Dead Count"
1.0,2,1000,0
2.0,4,998,0
3.0,4,998,0
4.0,7,995,0
5.0,8,994,0
6.0,10,992,0
7.0,10,992,0
8.0,12,990,0
9.0,16,986,0
10.0,20,982,0
11.0,26,976,0
12.0,26,976,0
13.0,28,974,0
14.0,35,967,0
15.0,34,966,2
16.0,40,960,2
17.0,47,952,3
18.0,49,949,4
19.0,55,942,5
20.0,56,938,8
21.0,56,936,10
22.0,59,933,10
23.0,66,924,12
24.0,68,918,16
25.0,73,909,20
26.0,74,902,26
27.0,81,895,26
28.0,86,889,27
29.0,86,882,34
30.0,93,873,36
31.0,97,864,41
32.0,98,855,49
33.0,100,850,52
34.0,112,834,56
35.0,120,820,62
36.0,129,807,66
37.0,140,794,68
38.0,140,785,77
39.0,147,773,82
40.0,154,755,93
41.0,159,743,100
42.0,167,729,106
43.0,168,724,110
44.0,174,710,118
45.0,175,699,128
46.0,187,681,134
47.0,193,664,145
48.0,202,649,151
49.0,208,629,165
50.0,207,616,179
51.0,205,605,192
52.0,205,593,204
53.0,207,581,214
54.0,200,575,227
55.0,198,562,242
56.0,191,553,258
57.0,190,545,267
58.0,192,535,275
59.0,190,524,288
60.0,198,504,300
61.0,197,491,314
62.0,183,483,336
63.0,186,468,348
64.0,177,454,371
65.0,174,446,382
66.0,177,432,393
67.0,177,417,408
68.0,178,404,420
69.0,191,386,425
70.0,193,373,436
71.0,190,365,447
72.0,200,350,452
73.0,207,332,463
74.0,205,322,475
75.0,203,310,489
76.0,189,306,507
77.0,188,298,516
78.0,177,293,532
79.0,172,289,541
80.0,163,285,554
81.0,158,278,566
82.0,147,274,581
83.0,145,262,595
84.0,141,252,609
85.0,136,240,626
86.0,138,229,635
87.0,130,223,649
88.0,116,219,667
89.0,108,216,678
90.0,104,210,688
91.0,99,207,696
92.0,98,201,703
93.0,99,195,708
94.0,101,188,713
95.0,99,186,717
96.0,99,180,723
97.0,97,178,727
98.0,92,172,738
99.0,86,168,748
100.0,78,164,760
101.0,69,162,771
102.0,64,160,778
103.0,62,157,783
104.0,62,155,785
105.0,60,153,789
106.0,55,153,794
107.0,53,149,800
108.0,50,148,804
109.0,42,148,812
110.0,41,147,814
111.0,37,144,821
112.0,36,143,823
113.0,33,141,828
114.0,28,141,833
115.0,25,141,836
116.0,23,141,838
117.0,20,141,841
118.0,17,141,844
119.0,15,140,847
120.0,14,139,849
121.0,14,139,849
122.0,10,139,853
123.0,11,137,854
124.0,12,136,854
125.0,13,135,854
126.0,10,134,858
127.0,10,133,859
128.0,11,131,860
129.0,10,131,861
130.0,10,131,861
131.0,11,130,861
132.0,13,128,861
133.0,13,128,861
134.0,13,128,861
135.0,12,127,863
136.0,13,126,863
137.0,13,126,863
138.0,11,126,865
139.0,10,126,866
140.0,10,125,867
141.0,9,125,868
142.0,8,125,869
143.0,6,125,871
144.0,6,125,871
145.0,6,125,871
146.0,5,125,872
147.0,3,125,874
148.0,3,125,874
149.0,3,125,874
150.0,2,125,875
151.0,1,125,876
152.0,1,125,876
153.0,2,124,876
154.0,2,124,876
155.0,1,124,877
156.0,1,124,877
157.0,1,124,877
158.0,1,124,877
159.0,1,124,877
160.0,1,124,877
161.0,1,124,877
162.0,1,124,877
163.0,1,124,877
164.0,2,123,877
165.0,2,123,877
166.0,2,123,877
167.0,2,123,877
168.0,1,123,878
169.0,1,123,878
170.0,1,123,878
171.0,1,123,878
172.0,2,122,878
173.0,2,122,878
174.0,2,122,878
175.0,2,122,878
176.0,2,122,878
177.0,2,122,878
178.0,3,121,878
179.0,3,121,878
180.0,3,121,878
181.0,2,121,879
182.0,2,121,879
183.0,2,121,879
184.0,2,121,879
185.0,2,121,879
186.0,2,121,879
187.0,1,121,880
188.0,1,121,880
189.0,1,121,880
190.0,1,121,880
191.0,1,121,880
192.0,1,121,880
193.0,0,121,881
194.0,0,121,881
195.0,0,121,881
196.0,0,121,881
197.0,0,121,881
198.0,0,121,881
199.0,0,121,881
200.0,0,121,881
201.0,0,121,881
202.0,0,121,881
203.0,0,121,881
204.0,0,121,881
205.0,0,121,881
206.0,0,121,881
207.0,0,121,881
208.0,0,121,881
209.0,0,121,881
