"tick","Infected Count","Healthy Count","Dead Count"
1.0,3,999,0
2.0,3,999,0
3.0,3,999,0
4.0,4,998,0
5.0,4,998,0
6.0,5,997,0
7.0,5,997,0
8.0,9,993,0
9.0,10,992,0
10.0,13,989,0
11.0,15,987,0
12.0,15,987,0
13.0,22,980,0
14.0,24,978,0
15.0,26,974,2
16.0,31,968,3
17.0,38,961,3
18.0,46,953,3
19.0,50,948,4
20.0,59,939,4
21.0,66,931,5
22.0,76,921,5
23.0,84,909,9
24.0,100,892,10
25.0,104,886,12
26.0,114,873,15
27.0,122,865,15
28.0,129,852,21
29.0,137,843,22
30.0,146,828,28
31.0,151,820,31
32.0,155,808,37
33.0,154,802,44
34.0,160,790,50
35.0,161,782,57
36.0,162,775,63
37.0,161,762,74
38.0,163,750,82
39.0,158,738,98
40.0,161,729,103
41.0,159,719,114
42.0,154,713,124
43.0,151,703,137
44.0,156,689,145
45.0,147,684,159
46.0,143,680,166
47.0,138,672,178
48.0,142,662,183
49.0,149,643,193
50.0,154,632,199
51.0,153,622,209
52.0,157,610,217
53.0,156,600,227
54.0,157,587,238
55.0,171,563,246
56.0,168,553,258
57.0,173,541,264
58.0,177,530,271
59.0,175,522,280
60.0,174,512,286
61.0,178,504,289
62.0,176,499,296
63.0,181,483,306
64.0,185,460,324
65.0,183,451,334
66.0,183,439,346
67.0,182,430,356
68.0,180,420,368
69.0,187,403,378
70.0,182,389,397
71.0,184,375,408
72.0,180,364,420
73.0,177,355,431
74.0,177,348,438
75.0,170,344,449
76.0,175,333,454
77.0,173,327,461
78.0,168,320,473
79.0,150,316,493
80.0,146,308,504
81.0,142,302,514
82.0,141,294,521
83.0,137,286,533
84.0,126,280,549
85.0,114,278,561
86.0,107,273,573
87.0,104,263,585
88.0,99,259,594
89.0,103,248,600
90.0,113,233,604
91.0,107,227,616
92.0,111,217,622
93.0,108,212,630
94.0,111,205,634
95.0,110,200,640
96.0,108,196,646
97.0,102,194,653
98.0,97,190,661
99.0,91,190,667
100.0,97,182,669
101.0,98,176,673
102.0,91,174,682
103.0,88,172,687
104.0,82,169,696
105.0,70,168,709
106.0,62,167,717
107.0,53,164,729
108.0,52,163,731
109.0,44,162,740
110.0,42,159,745
111.0,39,158,749
112.0,42,153,751
113.0,39,152,754
114.0,38,152,755
115.0,34,151,760
116.0,31,148,766
117.0,27,148,770
118.0,24,148,772
119.0,23,146,775
120.0,25,143,776
121.0,24,143,777
122.0,23,142,779
123.0,21,142,781
124.0,21,141,782
125.0,18,141,785
126.0,18,140,786
127.0,14,139,791
128.0,14,138,792
129.0,15,137,792
130.0,14,137,793
131.0,15,134,795
132.0,15,133,795
133.0,15,133,795
134.0,13,133,797
135.0,10,133,800
136.0,10,133,800
137.0,9,133,801
138.0,9,133,801
139.0,8,133,802
140.0,8,133,802
141.0,7,133,803
142.0,6,133,804
143.0,5,133,805
144.0,5,133,805
145.0,5,133,805
146.0,3,133,807
147.0,1,133,808
148.0,0,133,808
149.0,0,133,808
150.0,0,133,808
151.0,0,133,808
152.0,0,133,808
153.0,0,133,808
154.0,0,133,808
155.0,0,133,808
156.0,0,133,808
157.0,0,133,808
158.0,0,133,808
159.0,0,133,808
160.0,0,133,808
161.0,0,133,808
162.0,0,133,808
163.0,0,133,808
164.0,0,133,808
165.0,0,133,808
166.0,0,133,808
167.0,0,133,808
168.0,0,133,808
169.0,0,133,808
170.0,0,133,808
171.0,0,133,808
172.0,0,133,808
173.0,0,133,808
174.0,0,133,808
175.0,0,133,808
176.0,0,133,808
177.0,0,133,808
178.0,0,133,808
179.0,0,133,808
180.0,0,133,808
181.0,0,133,808
182.0,0,133,808
183.0,0,133,808
184.0,0,133,808
185.0,0,133,808
