"tick","Infected Count","Healthy Count","Dead Count"
1.0,3,999,0
2.0,5,997,0
3.0,6,996,0
4.0,9,993,0
5.0,10,992,0
6.0,10,992,0
7.0,12,990,0
8.0,14,988,0
9.0,18,984,0
10.0,23,979,0
11.0,27,975,0
12.0,31,971,0
13.0,35,967,0
14.0,39,963,0
15.0,46,954,2
16.0,54,945,3
17.0,61,936,5
18.0,67,929,6
19.0,70,923,9
20.0,73,919,10
21.0,85,907,10
22.0,95,896,11
23.0,102,887,12
24.0,103,881,17
25.0,105,876,20
26.0,108,868,25
27.0,118,855,28
28.0,123,846,31
29.0,131,833,36
30.0,128,826,45
31.0,134,813,52
32.0,131,807,59
33.0,126,805,66
34.0,129,796,71
35.0,130,791,74
36.0,126,785,84
37.0,129,770,94
38.0,130,759,103
39.0,128,755,108
40.0,139,741,111
41.0,138,732,121
42.0,127,728,134
43.0,134,713,142
44.0,131,704,153
45.0,137,691,159
46.0,132,684,171
47.0,135,673,178
48.0,144,661,180
49.0,148,648,189
50.0,162,630,193
51.0,162,624,198
52.0,162,611,211
53.0,171,592,220
54.0,173,584,224
55.0,171,573,236
56.0,171,564,243
57.0,177,553,247
58.0,176,539,260
59.0,179,527,269
60.0,181,512,282
61.0,188,500,287
62.0,188,488,297
63.0,189,475,308
64.0,202,450,318
65.0,200,434,333
66.0,201,424,339
67.0,198,414,351
68.0,197,404,361
69.0,196,392,372
70.0,194,384,380
71.0,196,368,391
72.0,197,360,398
73.0,196,345,410
74.0,192,338,421
75.0,184,331,435
76.0,182,322,446
77.0,176,313,458
78.0,173,304,470
79.0,155,298,494
80.0,149,292,505
81.0,140,288,515
82.0,132,285,526
83.0,127,279,536
84.0,117,276,548
85.0,118,270,553
86.0,106,266,568
87.0,107,255,577
88.0,96,252,590
89.0,94,245,599
90.0,91,242,605
91.0,91,236,611
92.0,87,230,621
93.0,88,219,629
94.0,85,215,635
95.0,85,208,640
96.0,86,204,643
97.0,83,202,647
98.0,84,195,653
99.0,88,189,655
100.0,86,186,659
101.0,91,176,663
102.0,88,170,672
103.0,89,166,674
104.0,83,165,679
105.0,84,162,681
106.0,83,155,687
107.0,81,150,693
108.0,74,148,701
109.0,72,145,705
110.0,66,143,713
111.0,67,139,716
112.0,66,137,718
113.0,64,131,725
114.0,62,129,729
115.0,61,127,732
116.0,52,125,742
117.0,47,125,746
118.0,49,120,748
119.0,49,117,751
120.0,48,115,753
121.0,42,113,761
122.0,39,112,765
123.0,41,109,766
124.0,39,107,769
125.0,37,107,771
126.0,32,107,775
127.0,32,105,777
128.0,26,105,783
129.0,25,104,785
130.0,27,100,787
131.0,27,98,789
132.0,29,96,789
133.0,25,96,793
134.0,21,96,797
135.0,19,96,799
136.0,19,94,801
137.0,19,93,802
138.0,16,93,805
139.0,14,93,807
140.0,14,93,807
141.0,14,93,807
142.0,14,92,808
143.0,13,92,808
144.0,12,92,809
145.0,9,92,812
146.0,6,92,814
147.0,4,92,816
148.0,4,92,816
149.0,4,92,816
150.0,4,92,816
151.0,2,92,818
152.0,1,92,819
153.0,1,92,819
154.0,1,92,819
155.0,1,92,819
156.0,1,92,819
157.0,0,92,820
158.0,0,92,820
159.0,0,92,820
160.0,0,92,820
161.0,0,92,820
162.0,0,92,820
163.0,0,92,820
164.0,0,92,820
165.0,0,92,820
166.0,0,92,820
167.0,0,92,820
168.0,0,92,820
169.0,0,92,820
170.0,0,92,820
171.0,0,92,820
172.0,0,92,820
173.0,0,92,820
174.0,0,92,820
175.0,0,92,820
176.0,0,92,820
177.0,0,92,820
178.0,0,92,820
179.0,0,92,820
180.0,0,92,820
181.0,0,92,820
182.0,0,92,820
183.0,0,92,820
184.0,0,92,820
185.0,0,92,820
186.0,0,92,820
187.0,0,92,820
188.0,0,92,820
189.0,0,92,820
190.0,0,92,820
191.0,0,92,820
192.0,0,92,820
193.0,0,92,820
194.0,0,92,820
195.0,0,92,820
196.0,0,92,820
197.0,0,92,820
198.0,0,92,820
199.0,0,92,820
200.0,0,92,820
201.0,0,92,820
202.0,0,92,820
203.0,0,92,820
204.0,0,92,820
205.0,0,92,820
206.0,0,92,820
207.0,0,92,820
208.0,0,92,820
209.0,0,92,820
210.0,0,92,820
211.0,0,92,820
212.0,0,92,820
213.0,0,92,820
214.0,0,92,820
215.0,0,92,820
216.0,0,92,820
217.0,0,92,820
218.0,0,92,820
219.0,0,92,820
220.0,0,92,820
221.0,0,92,820
222.0,0,92,820
223.0,0,92,820
224.0,0,92,820
225.0,0,92,820
226.0,0,92,820
227.0,0,92,820
228.0,0,92,820
229.0,0,92,820
230.0,0,92,820
231.0,0,92,820
232.0,0,92,820
233.0,0,92,820
234.0,0,92,820
235.0,0,92,820
236.0,0,92,820
237.0,0,92,820
238.0,0,92,820
239.0,0,92,820
240.0,0,92,820
241.0,0,92,820
242.0,0,92,820
243.0,0,92,820
244.0,0,92,820
245.0,0,92,820
246.0,0,92,820
247.0,0,92,820
248.0,0,92,820
249.0,0,92,820
250.0,0,92,820
251.0,0,92,820
252.0,0,92,820
253.0,0,92,820
254.0,0,92,820
255.0,0,92,820
256.0,0,92,820
257.0,0,92,820
258.0,0,92,820
259.0,0,92,820
260.0,0,92,820
261.0,0,92,820
262.0,0,92,820
263.0,0,92,820
264.0,0,92,820
265.0,0,92,820
266.0,0,92,820
267.0,0,92,820
268.0,0,92,820
269.0,0,92,820
270.0,0,92,820
271.0,0,92,820
272.0,0,92,820
273.0,0,92,820
274.0,0,92,820
275.0,0,92,820
276.0,0,92,820
277.0,0,92,820
278.0,0,92,820
279.0,0,92,820
280.0,0,92,820
281.0,0,92,820
282.0,0,92,820
283.0,0,92,820
284.0,0,92,820
285.0,0,92,820
286.0,0,92,820
287.0,0,92,820
288.0,0,92,820
289.0,0,92,820
290.0,0,92,820
291.0,0,92,820
292.0,0,92,820
293.0,0,92,820
294.0,0,92,820
295.0,0,92,820
296.0,0,92,820
297.0,0,92,820
298.0,0,92,820
299.0,0,92,820
300.0,0,92,820
301.0,0,92,820
302.0,0,92,820
303.0,0,92,820
304.0,0,92,820
305.0,0,92,820
306.0,0,92,820
307.0,0,92,820
308.0,0,92,820
309.0,0,92,820
