"tick","Infected Count","Healthy Count","Dead Count"
1.0,5,4996,0
2.0,12,4989,0
3.0,26,4975,0
4.0,49,4952,0
5.0,82,4919,0
6.0,113,4888,0
7.0,155,4846,0
8.0,206,4795,0
9.0,267,4734,0
10.0,298,4703,0
11.0,361,4640,0
12.0,465,4536,0
13.0,513,4488,0
14.0,616,4385,0
15.0,699,4301,1
16.0,743,4256,2
17.0,837,4153,9
18.0,971,4007,21
19.0,1060,3897,41
20.0,1117,3810,69
21.0,1140,3757,95
22.0,1249,3609,133
23.0,1311,3494,182
24.0,1322,3425,235
25.0,1460,3254,263
26.0,1491,3157,324
27.0,1555,3004,410
28.0,1650,2852,461
29.0,1794,2615,550
30.0,1813,2503,632
31.0,1987,2288,671
32.0,1993,2186,760
33.0,2009,2023,897
34.0,2114,1810,997
35.0,2218,1616,1080
36.0,2333,1442,1130
37.0,2297,1346,1252
38.0,2420,1109,1356
39.0,2439,1009,1430
40.0,2426,871,1574
41.0,2491,698,1668
42.0,2466,582,1796
43.0,2361,535,1930
44.0,2244,427,2134
45.0,2173,372,2241
46.0,2066,282,2421
47.0,2005,214,2525
48.0,1877,183,2674
49.0,1722,146,2859
50.0,1577,96,3031
51.0,1415,78,3193
52.0,1326,47,3290
53.0,1117,36,3502
54.0,1009,30,3601
55.0,884,21,3722
56.0,731,11,3876
57.0,609,7,3986
58.0,556,4,4031
59.0,457,2,4123
60.0,389,2,4186
61.0,312,1,4257
62.0,242,1,4318
63.0,196,1,4354
64.0,155,0,4391
65.0,113,0,4431
66.0,88,0,4449
67.0,55,0,4479
68.0,39,0,4491
69.0,32,0,4496
70.0,25,0,4503
71.0,12,0,4514
72.0,8,0,4517
73.0,5,0,4520
74.0,2,0,4523
75.0,2,0,4523
76.0,1,0,4524
77.0,1,0,4524
78.0,1,0,4524
79.0,0,0,4525
80.0,0,0,4525
81.0,0,0,4525
82.0,0,0,4525
83.0,0,0,4525
84.0,0,0,4525
85.0,0,0,4525
86.0,0,0,4525
87.0,0,0,4525
88.0,0,0,4525
89.0,0,0,4525
90.0,0,0,4525
91.0,0,0,4525
92.0,0,0,4525
93.0,0,0,4525
94.0,0,0,4525
95.0,0,0,4525
96.0,0,0,4525
97.0,0,0,4525
98.0,0,0,4525
99.0,0,0,4525
100.0,0,0,4525
101.0,0,0,4525
102.0,0,0,4525
103.0,0,0,4525
104.0,0,0,4525
105.0,0,0,4525
106.0,0,0,4525
107.0,0,0,4525
108.0,0,0,4525
109.0,0,0,4525
110.0,0,0,4525
111.0,0,0,4525
112.0,0,0,4525
113.0,0,0,4525
114.0,0,0,4525
115.0,0,0,4525
116.0,0,0,4525
117.0,0,0,4525
118.0,0,0,4525
119.0,0,0,4525
120.0,0,0,4525
121.0,0,0,4525
122.0,0,0,4525
123.0,0,0,4525
124.0,0,0,4525
125.0,0,0,4525
126.0,0,0,4525
127.0,0,0,4525
128.0,0,0,4525
129.0,0,0,4525
130.0,0,0,4525
131.0,0,0,4525
132.0,0,0,4525
133.0,0,0,4525
134.0,0,0,4525
135.0,0,0,4525
136.0,0,0,4525
137.0,0,0,4525
138.0,0,0,4525
139.0,0,0,4525
140.0,0,0,4525
141.0,0,0,4525
142.0,0,0,4525
143.0,0,0,4525
